User id,inst,Time (secs),Number of moves,difficulty,Date,npo,nsols,avg_naff,nfrozen,minr,avgr,minr_extr,minr_extl,npstn,nlo,bs,ac
587daa2c-a076-49dd-8ec5-17367d77b32c,7_6,41,7,2,Thu Apr 19 08:31:36 CAT 2018,10,22,51.3,0,7,9.4,1,0,5.571428571428571,80,3128,0.398453677348
587daa2c-a076-49dd-8ec5-17367d77b32c,7_7,140,10,4,Thu Apr 19 08:34:05 CAT 2018,10,33,23.6,0,6,7.8,0,0,5.714285714285714,55,3749,0.394929059294
8f95ee4d-c146-4b91-aabd-f93b535c06d3,3_1,12,3,4,Thu Apr 19 09:01:13 GMT+02:00 2018,1,1,3.0,3,0,0.0,0,0,1.6666666666666667,1,6,-0.325
8f95ee4d-c146-4b91-aabd-f93b535c06d3,3_2,9,3,4,Thu Apr 19 09:25:24 GMT+02:00 2018,2,2,3.0,1,1,1.0,0,0,2.0,2,6,-0.260337533649
8f95ee4d-c146-4b91-aabd-f93b535c06d3,4_1,18,4,4,Thu Apr 19 09:29:44 GMT+02:00 2018,1,1,17.0,4,5,5.0,2,2,2.5,3,23,-0.0473151774189
8f95ee4d-c146-4b91-aabd-f93b535c06d3,4_2,47,6,4,Thu Apr 19 09:32:20 GMT+02:00 2018,3,3,4.0,0,2,2.3333333333333335,0,0,3.0,5,24,-0.101656805361
8f95ee4d-c146-4b91-aabd-f93b535c06d3,4_3,135,16,3,Thu Apr 19 09:35:23 GMT+02:00 2018,2,4,4.0,0,1,1.0,0,0,2.75,4,24,-0.0652940515087
8f95ee4d-c146-4b91-aabd-f93b535c06d3,4_4,19,4,2,Thu Apr 19 17:48:13 GMT+02:00 2018,3,4,4.0,0,1,2.0,0,0,2.75,4,24,0.00446897605307
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5_1,55,9,3,Thu Apr 19 17:51:03 GMT+02:00 2018,2,6,8.0,2,3,3.5,0,1,3.6,7,120,0.0569093995866
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5_2,49,5,3,Thu Apr 19 17:53:44 GMT+02:00 2018,1,1,23.0,5,9,9.0,1,2,3.4,12,67,0.0453965014669
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5_3,19,5,3,Thu Apr 19 18:09:31 GMT+02:00 2018,4,8,7.25,0,2,3.0,0,0,3.8,9,120,0.0215878867627
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5_4,38,5,4,Thu Apr 19 18:14:22 GMT+02:00 2018,2,3,14.0,1,2,4.5,1,0,3.4,5,110,0.104454879197
8f95ee4d-c146-4b91-aabd-f93b535c06d3,5_5,63,5,3,Thu Apr 19 18:15:39 GMT+02:00 2018,1,1,27.0,5,8,8.0,1,2,3.6,13,53,-0.0981095104289
8f95ee4d-c146-4b91-aabd-f93b535c06d3,6_1,81,11,4,Thu Apr 19 20:44:13 GMT+02:00 2018,3,6,37.333333333333336,3,5,6.666666666666667,0,0,4.5,13,484,0.227373918777
dd792761-31ef-41d6-81e6-47ea34658cd0,5_3,61,35,2,Sat Apr 21 22:45:51 GMT+02:00 2018,4,8,7.25,0,2,3.0,0,0,3.8,9,120,0.0215878867627
